date,tb_incidence_rate_per_100k,province,province_cn
2016-07-01,4.1457,Liaoning,辽宁
2016-08-01,4.1846,Liaoning,辽宁
2016-09-01,3.8899,Liaoning,辽宁
2016-10-01,3.8739,Liaoning,辽宁
2016-11-01,4.0475,Liaoning,辽宁
2016-12-01,3.0996,Liaoning,辽宁
2017-01-01,4.6143,Liaoning,辽宁
2017-02-01,4.7562,Liaoning,辽宁
2017-03-01,5.1225,Liaoning,辽宁
2017-04-01,4.9416,Liaoning,辽宁
2017-05-01,5.0492,Liaoning,辽宁
2017-06-01,4.3236,Liaoning,辽宁
2017-07-01,4.4312,Liaoning,辽宁
2017-08-01,4.5068,Liaoning,辽宁
2017-09-01,3.9437,Liaoning,辽宁
2017-10-01,4.4266,Liaoning,辽宁
2017-11-01,4.2962,Liaoning,辽宁
2017-12-01,3.7789,Liaoning,辽宁
